url,seo_nombre,estado,kb_orig,kb_opt,reduccion_%
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230531_170603475.MP-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-4-001.jpg,OK,257.5,259.9,-0.9
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230531_174729109-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-4-002.jpg,OK,178.3,179.8,-0.8
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230531_183126452-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-4-003.jpg,OK,215.8,217.8,-0.9
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230531_183755707-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-4-004.jpg,OK,298.8,302.2,-1.1
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230531_184013087-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-4-005.jpg,OK,219.3,221.3,-0.9
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230531_184029643.MP-01-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-4-006.jpg,OK,457.9,462.0,-0.9
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230531_191724218.PORTRAIT.ORIGINAL2-012-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-4-007.jpg,OK,85.0,86.3,-1.6
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230606_172115736-01-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-1-001.jpg,OK,99.5,100.2,-0.7
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230606_175356830.MP-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-1-002.jpg,OK,224.4,226.1,-0.7
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230606_185025884-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-1-003.jpg,OK,121.2,122.8,-1.4
